# 1791 diagrams with invariants in native notation
pd; kbsm
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'd', 1, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 1, {}), ('Endpoint', 'b', 3, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'g', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'd', 2, {})), {}), ('Crossing', 'g', (('Endpoint', 'd', 3, {}), ('Endpoint', 'h', 2, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 1, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); A**20 + A**12 - A**8
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'b', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 3, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'g', 1, {})), {}), ('Crossing', 'f', (('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'g', (('Endpoint', 'f', 1, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'h', 2, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'g', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 2, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {})]); -A**4 + 1 + A**(-8)
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'd', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'd', 1, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'g', (('Endpoint', 'f', 1, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'h', 2, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'g', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 2, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); A**(-10) - 2/A**14 - 1/A**16 + A**(-18) + A**(-20) - 1/A**22 + A**(-26) + A**(-28)
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 1, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 3, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'g', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'd', 2, {})), {}), ('Crossing', 'g', (('Endpoint', 'd', 3, {}), ('Endpoint', 'h', 2, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 1, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 2, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); -A**18 + A**14 + A**12 - A**10 + 2*A**6 + A**4 - A**2 - 1
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'b', 0, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 0, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 2, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'c', 1, {})), {}), ('Crossing', 'f', (('Endpoint', 'd', 1, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'g', (('Endpoint', 'f', 1, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'h', 2, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'g', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {})]); -1 - 1/A**2 + A**(-4) + 2/A**6 - 1/A**10 + A**(-12) + A**(-14) - 1/A**18
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'b', 0, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 0, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 1, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'g', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'd', 2, {})), {}), ('Crossing', 'g', (('Endpoint', 'd', 3, {}), ('Endpoint', 'h', 2, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 1, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {})]); A**28 + A**26 - A**22 + A**20 + A**18 - A**16 - 2*A**14 + A**10
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'c', 1, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Crossing', 'g', (('Endpoint', 'd', 2, {}), ('Endpoint', 'h', 2, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 1, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); A**8 + 1 - 1/A**4
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'd', 3, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'b', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 3, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 2, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'd', 1, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'g', (('Endpoint', 'f', 1, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'h', 2, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'g', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 2, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {})]); -1/A**8 + A**(-12) + A**(-20)
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'b', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 3, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'g', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'd', 2, {})), {}), ('Crossing', 'g', (('Endpoint', 'd', 3, {}), ('Endpoint', 'h', 2, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 1, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 2, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {})]); A**20 + A**12 - A**8
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'd', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Crossing', 'g', (('Endpoint', 'd', 2, {}), ('Endpoint', 'h', 2, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 1, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 2, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); -A**6 + A**2 + 1 - 1/A**2 + 2/A**6 + A**(-8) - 1/A**10 - 1/A**12
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'b', 0, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 0, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'c', 1, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Crossing', 'g', (('Endpoint', 'd', 2, {}), ('Endpoint', 'h', 2, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 1, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {})]); A**16 + A**14 - A**10 + A**8 + A**6 - A**4 - 2*A**2 + A**(-2)
('PlanarDiagram', {}, [('Crossing', 'c', (('Endpoint', 'd', 3, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'b', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 3, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Crossing', 'g', (('Endpoint', 'd', 2, {}), ('Endpoint', 'h', 2, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'h', (('Endpoint', 'f', 1, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'e', (('Endpoint', 'c', 2, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {})]); A**8 + 1 - 1/A**4
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'b', 2, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 3, {}), ('Endpoint', 'g', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'd', 2, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 1, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 1, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 2, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'h', 2, {})), {}), ('Crossing', 'h', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'g', (('Endpoint', 'd', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); -A**4 + 1 + A**(-8)
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 3, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 1, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 2, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'h', 2, {})), {}), ('Crossing', 'h', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'g', (('Endpoint', 'd', 2, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); -A**12 - A**10 + A**8 + 2*A**6 - A**2 + 1 + A**(-2) - 1/A**6
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'b', 1, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'g', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 1, {}), ('Endpoint', 'b', 0, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 1, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 2, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'h', 2, {})), {}), ('Crossing', 'h', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'g', (('Endpoint', 'd', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {})]); A**2 - 2/A**2 - 1/A**4 + A**(-6) + A**(-8) - 1/A**10 + A**(-14) + A**(-16)
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'b', 2, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'b', 3, {}), ('Endpoint', 'g', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'd', 2, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'd', 1, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 1, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'h', 2, {})), {}), ('Crossing', 'h', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'g', (('Endpoint', 'd', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); -1/A**8 + A**(-12) + A**(-20)
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'b', 2, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 3, {}), ('Endpoint', 'g', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'd', 2, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 1, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'e', (('Endpoint', 'f', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'c', 2, {})), {}), ('Crossing', 'f', (('Endpoint', 'c', 3, {}), ('Endpoint', 'h', 2, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'h', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'e', 2, {})), {}), ('Vertex', 'g', (('Endpoint', 'd', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); A**20 + A**12 - A**8
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 0, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 1, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 2, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'h', 2, {})), {}), ('Crossing', 'h', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'g', (('Endpoint', 'd', 2, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {})]); -A**4 + 1 + A**(-8)
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'c', 3, {}), ('Endpoint', 'b', 3, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 1, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'h', 2, {})), {}), ('Crossing', 'h', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'g', (('Endpoint', 'd', 2, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); -1 - 1/A**2 + A**(-4) + 2/A**6 - 1/A**10 + A**(-12) + A**(-14) - 1/A**18
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 3, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'e', (('Endpoint', 'f', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'c', 2, {})), {}), ('Crossing', 'f', (('Endpoint', 'c', 3, {}), ('Endpoint', 'h', 2, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'h', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'e', 2, {})), {}), ('Vertex', 'g', (('Endpoint', 'd', 2, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {})]); A**28 + A**26 - A**22 + A**20 + A**18 - A**16 - 2*A**14 + A**10
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'b', 1, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'g', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 0, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'd', 1, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 1, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'h', 2, {})), {}), ('Crossing', 'h', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {})), {}), ('Vertex', 'g', (('Endpoint', 'd', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {})]); A**(-10) - 2/A**14 - 1/A**16 + A**(-18) + A**(-20) - 1/A**22 + A**(-26) + A**(-28)
('PlanarDiagram', {}, [('Crossing', 'd', (('Endpoint', 'b', 1, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'g', 0, {})), {}), ('Crossing', 'b', (('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 1, {}), ('Endpoint', 'b', 0, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'e', (('Endpoint', 'f', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'h', 3, {}), ('Endpoint', 'c', 2, {})), {}), ('Crossing', 'f', (('Endpoint', 'c', 3, {}), ('Endpoint', 'h', 2, {}), ('Endpoint', 'h', 1, {}), ('Endpoint', 'e', 0, {})), {}), ('Crossing', 'h', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'e', 2, {})), {}), ('Vertex', 'g', (('Endpoint', 'd', 3, {}),), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {})]); -A**18 + A**14 + A**12 - A**10 + 2*A**6 + A**4 - A**2 - 1
